Tahun,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2003,56,71,93,61,115,85,39,36,76,50,109,100
2004,69,60,43,73,58,125,64,27,49,99,83,69
2005,27,54,90,118,54,47,146,145,72,78,71,76
2006,41.5,57,28.4,135,60,71.5,101.5,69.6,194.8,234.3,35,138
2007,61,85,46,91,76,52,72,53,54,72,79,0
2008,43,61,109,90,40,88,111,125,99,59,104,39
2009,36,85,73,87,42,69,26,59,59,67,54,82
2010,71,58,130,96,73,69,66,52,76,36,31,83
2011,37,40,24,63,53,31,13,90,156,82,61,71
2012,42.4,48.3,57,124,59.9,88.5,96,71.7,62.7,46.2,60.9,57.9
2013,39.4,76.6,49.3,61,31,23.2,74.5,117.2,45.2,58,71.5,145.7
2014,75.8,12.8,65.7,70,38.8,69.3,61,37.5,57.5,107.5,80.4,58.5
2015,63.4,29.6,32.7,54.8,23.3,73.7,68,46.1,27.1,59.5,79.3,63.9
2016,48.3,16,50.1,89.2,57.7,72.3,17.5,48.8,46.1,60.7,87.7,155.6
2017,103.5,28,90.7,41.9,45,34.3,54.6,20.5,46.3,79.6,77.6,80
2018,35,119.3,54.5,64.1,83,55.8,45.6,82.8,51,106.5,129,90.7
2019,46.6,51,58.3,60.7,29.5,59.4,33.7,16,37,55.7,62.8,85.2
2020,32.2,23.2,60,80.2,74.5,23.5,26.3,52.8,26.6,57.8,80.1,41.5
2021,34.1,29.1,57.4,65,46.2,35.3,44.7,99.6,30,39.6,38.9,115.5
2022,28,27.2,69.6,42.8,70.7,25,38.9,38.9,60.7,35,59.1,40.2
